Rating,Review_title,Product_review
5.0 out of 5 stars,It works well getting pet hair up,It works well for cat hair and dog hair. I'm happy with my vacuum
5.0 out of 5 stars,Really Worth the Money!,"Looks prettier than the picture shows, the matte black design looks very cool."
4.0 out of 5 stars,E4 Works Well with Limitations,"This review is long, but if you’ll take the time to read it, I think you’ll find a lot of useful information about the Roborock E4. It is a good alternative both in price and performance to the random navigation robot vacuums, which just bounce around. Budget robots feature random navigation as do the less expensive models of Shark and Roomba. The E4 uses internal navigation to move around your home leaving straight lines and covering 99% of a room."
3.0 out of 5 stars,Great vacuum. Terrible app,"I wanted to love this vacuum. It works great. After several attempts, the device finally connected to wifi, but then it will drop from wifi periodically and then it takes several attempts to reconnect. Roborock customer service responds pretty quickly, but by email only. There is no customer service phone number. Sadly, I have to return the vacuum. I don't have the time to repeatedly attempt to reconnect to wifi."
1.0 out of 5 stars,Roborock E4,"This product cleans okay but it has issues. I bought it July 28, 2020 and it has never been able to dock by itself. It will look all over the house for the dock and be within 6 foot of it and still not find it. I have to pick it up and sit it down within a foot of the dock. Last month for over two weeks it would not connect to the app and it finally started connecting again and updated. Last week it has started running against the wall or any object and it will spin around and around in circles and then give an error 8. I can pick it up and move it then start it again and it will finish cleaning. I have cleaned everything on the vacuum that can be cleaned. I really regret buying this, it should last longer than 3 months."
4.0 out of 5 stars,One Week In,"Purchased the E4 just over a week ago and have used it every day. It has worked great so far and I have no complaints. The first time I ran it, I followed it as it cleaned the entire house so I could locate trouble spots. I Had to adjust a few things to keep the sensor on top of the machine from causing it to get stuck. Uneven floors would allow it to move under furniture at one point, but then not have the clearance to exit at a different point. Transitions seamlessly from wood to tile to area rugs. Although it does not like really small light weight area rugs. Then again, no vacuum does so not really a big issue for me. It sometimes will clean the same area twice, but I think that has more to do with the cats and dogs taking issues with it and knocking it off course. Which brings up my favorite part of this machine. It slows down when it senses a obstacle in front of it, which in our case is usually our older slower moving cat. Overall very pleased so far. 1600 sq ft floor, all hardwood and tile with 3 dogs and 4 cats."
3.0 out of 5 stars,Good Cleaner If You Can Get It To Work Correctly,"I like the cleaning power of this vacuum it does a good job of suctioning things up. I’ve had a few problems with it that I’ve not been able to solve. I’ve reached out to Roborock customer service several times and had no reply so just having to use it the way it is. Within two runs, my vacuum has been covered in scuffs, scratches, and paint. It runs into everything and doesn’t stop. It just keeps pounding itself into it which has caused the vacuum to look terrible. Nearly every time the vacuum runs, I have to chase it down when it’s done cleaning to take it back to its base. It will run until it dies looking for the base. It’s not blocked by a lot of things or difficult to reach. The vacuum goes to three different rooms looking for it’s base but not the room the base is in. The vacuum also decides what rooms it wants to clean that time. Some runs, it will completely ignore a room. It’ll take five more runs to get it to go into that room. Lastly, I’ve been unable to get the app to do the things the listing here says it will. I have been unable since purchase to make (or get the vacuum) to create a map. The app disconnects from the vacuum constantly so I don’t even use it at this point. If these issues were worked out, this would be a great vacuum."
5.0 out of 5 stars,Reliability and technically advanced unit,"Love this Roborock E4 , I’ll be honest I’m sort of embarrassed showing the picture that I have posted. But I wanted to show you how well it actually works. I have two cats and a dog and we vacuum every day. I have area rugs and a tiled floor. I know, by the picture you wouldn’t think so, LOL. But I must admit the robot got into areas that we do not normally vacuum, like under the sofas, wall units ,beds and cabinets and produced what you see in the Photo. I love the fact that it actually increases the suction power when it goes over the rugs and reduces power when it goes back onto the tiles. Unlike other robots it doesn’t blow light items or hair around the floor from It’s exhaust , it’s designed with a diffuser where the air comes out of. I also like the fact that it connects to Alexa. It also has the option of mopping as well, But I haven’t used this feature as of yet. I had the shark robot vacuum which worked well but not as well as this one. But I will warn you if you have carpeting with black borders or just black carpeting it will avoid the carpet thinking it’s either an edge that it can fall off or the stairs. I have a Carpet with black borders and I was able to override the cliff sensors by applying white paper over the four sensors that it has. But keep in mind that I live in a single level home. If you have a multi level home I would not recommend covering the cliff sensors with white paper. I love this vacuum and highly recommend it to anyone who is looking for a high end budget vacuum cleaner that is extremely reliable and has mapping capabilities as well. I paid $239 and it’s worth every penny. I am very happy with the purchase!"
1.0 out of 5 stars,Destroys baseboards and furniture,"I have had this vacuum for a few months now and had it running every morning. As a vacuum it does a decent job. The navigation is ok, better than the simpler vacuums since it mostly does straight lines but not as good as the vacuums with LIDAR navigation."
1.0 out of 5 stars,Spend the money on a better system,"Do not go for this one, the price is tempting, until it constantly gets stuck and you have to baby it. recently i have been finding gears from the vacuum falling off after only a month of use."
2.0 out of 5 stars,Does not work on carpet., For whatever reason this will not work on carpet. I’ve tried 6+ times in my basement with zero luck. It moves around the same area for about 5 minuets and gives an error saying objects in the way. Will be sending back unless this is resolved.
5.0 out of 5 stars,Thing is great!,"Had this for about a week now, and I'm really impressed with it. It has great suction, and actually gets in spots we have to work more to get. I was amazed how much this thing was cleaning up each day. The app is easy to use and lets you setup a schedule, shows you a cleaning map, etc. Very happy with it so far!"
1.0 out of 5 stars,Nope...don't get this,"I purchased this after LOVING the E35 so much. From my online research, the E4 was pretty identical except that it didn't come with the mop function, which I didn't need for upstairs since it's almost all carpet. I was SO excited when this came...set it up and charged it immediately. I've run it upstairs on low pile carpeting about 4 or 5 times now and it is absolutely HORRIBLE! The noise level is fine, not too loud at all. But it doesn't pick up anything hardly at all! Not even paper hole punch circles, not thread pieces, not random pieces of small lint/papers/debris. You can see the marks in the carpet from where it was, but the debris is literally still there. It just goes right over it and leaves it there. I'm not sure if they would take it back after it being used 4 -5 times, but I deeply regret having purchased this and wish I would have just bought another E35. It sucks at sucking! :("
1.0 out of 5 stars,Doesn’t work.,It doesn’t work. The app repeatedly freezes and doesn’t allow anything to initialize. There is no ability to communicate. I could upload a video here of the worthless thing tentatively and repeatedly going over about three feet in the middle of an open room without touching either side of the wall or hitting anything on a regular carpet. Then it goes to sleep. It hasn’t managed to do one single empty room.
4.0 out of 5 stars,It Came Used and Dirty/Second One is Great,"As soon as I opened the shipping box, I could tell the original seal had been broken. Inside, the vacuum itself and all the separate parts were dirty. I'm pretty upset to think dirt, germs, and possibly critters (bedbugs, roaches) could have hitched a ride into my house. I've asked for a new replacement, but if the next one comes in the same condition, I'll be pretty peeved. This exact circumstance was mentioned in a prior review, so I guess it's an Amazon thing that happens from time to time."
5.0 out of 5 stars,"Compared to iRobot i7, this is about 75% as good at a quarter of the price.","I have both this and the Roomba i7. These are both amazing machines. I had a 5 year old roomba and wow, the new gen has come a long way!!"
5.0 out of 5 stars,Should have bought this years ago!  Love it!,EDIT AFTER 6 OR 7 WEEKS OF USE:
2.0 out of 5 stars,I regret this purchase,"This review is mainly regarding the phone application for the Roborock E4. The vacuum itself does a decent job. It initially liked to beach itself on my shag rug, but thankfully it somehow figured out the rug and now avoids it. The vacuum also likes to get stuck in a corner in my bedroom and keep on the same path until I move it. It’s a bit annoying but that area is now the cleanest corner in the room."
5.0 out of 5 stars,Best model I’ve tried so far,"I have tried comparable models from Deebot, Roomba 600 series, MooSoo & Kyvol. I can honestly say that the Roborock has the most, and best, features. While the Roomba was definitely best at raising the nap of the carpet, it was very limited on the extra functions, at least for the “under $700 models.”"
5.0 out of 5 stars,Best investment I’ve ever made!," Love having this robot vacuum!!! This has made my life so much easier and less stressful. I live with two roommates and my level of cleanliness is a lot higher than theirs, so instead of stressing over the fact that there’s crumbs all over the floor after it was just cleaned, I just turn on Fred (we named him) and I come back to a clean kitchen and living room!"
5.0 out of 5 stars,Best thing ever!!!," I got this robot vacuum when it was a “deal of the day” on amazon. I got it for a great price! After purchasing, I ALMOST canceled my order because I thought the price was too good to be true and it was going to be crap and I wasted my money...but after doing some research, I thought ok, I’m going to give it a try. I AM COMPLETELY IMPRESSED!!! I have 2 shedding dogs (one being a pure bred husky), a cat, and 2 kids. This little vacuum has saved my sanity!! It picks up SOOOO much! The video I posted was after I vacuumed with my kerby vacuum just a couple hours before!! I definitely recommend this vacuum! Best decision I made!"
1.0 out of 5 stars,"MMI, or Lack Thereof -- One Awesome Disappointment","I purchased this robot vacuum, the Roborock E4, largely on the basis of it rated suction value and the ""Outstanding"" reviews appearing on these pages., I have had the vacuum for about 3 hours, most of which time was spent in setting up the Mi Home app, Alexa, and the vacuum. What a disappointment. There is very little, if any, coordination between or integration of the users manual, the Hi Hone app, and Alexa. Alexa is understandable, but there is no excuse for the lack of integration of the Roborock E4 and the Mi Home app. The instructions in the users manual are brief, cryptic, and unsatisfactory for any normal human. The Hi Home app likewise is cryptic, hard to read, and hard to follow. The user interface is totally inadequate. I wonder if any of the vacuum developers have even bothered to try to use this app with this vacuum. By dint of perserverance I did connect the vacuum to my Wi-Fi network and get the vacuum to connect with the dock. I also sent the vacuum on its first cleaning mission. However, forget about programming the machine and the Mi Home app to operate within a given area, such as the living room, or a bedroom. There does not appear to any provision in the MI Home app to do that. I don't know where to glowing reviews for this vacuum originated. Perhaps the reviewers purchased a different vacuum then I did or they have not tried anything other that manually operating the vacuum. I have yet to try this vacuum as a vacuum. Perhaps my opinion will change once I have done so. Right now, the Roborock E4, Mi Home app, and Alexa combined are "" One Awesome Disappointment."""
5.0 out of 5 stars,Large Dust Bin,"The first thing I noticed about this vacuum is the large dust bin. See in my picture next to the can of Pledge. After running the robot vacuum on a regularly vacuumed carpet it picked up a good amount of embedded dust and dirt. This robot does not have mapping or no-go lines like some of the higher-level models, but I think this is reflected in the pricing. Overall I am happy with this vacuum and will use it to keep my pool table chaulk free."
3.0 out of 5 stars,Sometimes she gets lost,"We bought two of the Roborock 4's. One upstairs and one down. They vacuum really well and we have a Great Pyrenees anda St Bernard so hair in our house is amazing, even though I brush them. These vacuums keep up with the hair very well. The only problem we have had is they sometimes get lost when going home. I bought my son one Roborock 6 and a 4 for his new house. He loved the 6, super fast and never gets lost. We returned the 4 and bought another 6 for him. The highlight of the Roborock is the dusbin can be thoroughly cleaned. I feel good about that. We use them daily and the house has no dog hair. Super job."
5.0 out of 5 stars,Everything is said it was.  Very pleased with my purchase!!!,"I bought this thing to hopefully help with the massive amount of dog hair my two labs shed on a daily basis. It can get overwhelming at times. I could make a new dog with the hair every other day. So I googled top rated robot vacuums for pet hair and this machine came up. The price was good and the reviews were good. The set up was very simple, you down load an app, register it, then connect to the wifi, maybe 10 minutes total, then let it charge up. Well 2 days in and I am very pleased. I have to empty the tray several times during its cleaning session but that isn't any problem and was to be expected. It have about 1800 sq feet of tile flooring that it cleaned very well. I kept the bedroom doors closed that have carpeting, so I can't speak for how it would handle the rooms, but it cleans the few throw rugs that I have strewn throughout the house with ease. No more sweeping for me, this thing kicks butt so far. Oh and its pretty quiet as well. I just let it run as I watched TV and it did its thing. I would definitely purchase again if need be. If you have pets or kids, I don't think you will be disappointed with your purchase."
3.0 out of 5 stars,Affordable and does great...UNTIL,"I live in a small townhouse with a cat and a golden retriever, so fur is all over the house. Not to mention the dirt that we track inside from our walks. Every morning, I run the vacuum and it picks up and all the loose fur, not to mention the litter my cat scatters everywhere. I even run it one more time in the evening to pick up the dirt brought in during the day. It allows me to get other things down while I know the floors are getting cleaned. The battery life has been great."
4.0 out of 5 stars,Very Impressive,"I am going to preface this review by saying that I did not expect this vacuum/mop to be as effective as my regular vacuum or floor cleaner and it is not. However, I am quite impressed with this little guy. As many others stated in their reviews, I cancelled my cleaning service due to covid and I admit, I wasn't that good at cleaning my carpets and floors as often as I should. I took that money I saved by not having a cleaning service and bought myself ""Geoffrey"" (thanks for the name, Fresh Prince). I was amazed at how much dirt ""Geoffrey"" sucked up after 1 pass. While he did miss a few spots, he was able to get to areas I cannot reach with my upright vacuum, such as under the bed. The reason I took 1 star off was for the mopping. I attempted to mop with the provided mopping pad but all I got was a wet pad, no dirt. I stuck a thicker wet mop pad using velcro and let it go for another pass. I was amazed how much dirt I was on the pad following the 2nd round. I don't think the mop pad is thick enough to truly ""mop"" the floor. Small detail but I wanted to mention it to make others aware. In summary, I would highly recommend this machine!"
4.0 out of 5 stars,See how it holds up,Bought it to help with dog hair and foot prints on floor... first one lost drive wheel in 3 days... was replaced by Amazon... just started new one yesterday will see how it holds up vs the other robot upstairs thats 3 or 4 years old now and still running...
1.0 out of 5 stars,After 3 months,"It’s really good for the price. Really impressed but after a month of using it, it started completely missing rooms. Some days it would skip my room and some days it would skip my entire HUGE hallway. It’s pretty annoying having to start is all over again."
1.0 out of 5 stars,WiFi wouldn’t connect,The product seemed a decent quality but I tried every conceivable thing to get it to connect to Wi-Fi and it was unsuccessful. Many others have had the same problem so should’ve listened to those reviews.
1.0 out of 5 stars,Mop function is useless if you have any rugs on the floor,This product should not be sold. If you have a area rug on your floor it's useless.
5.0 out of 5 stars,Great value,"If you are on the market for a robot vacuum, I can highly recommend the Roborock E4!"
1.0 out of 5 stars,Does NOT have mapping,The description states this vacuum has mapping and even shows the app with mapping. This vacuum does NOT have mapping using the software mentioned in the instructions. We returned a different brand of vacuum that had mapping and it stopped working. So we returned it and specifically purchased this vacuum to try another brand with mapping. Don't buy this one. False advertisement. Also the instructions talk about wet mopping. This device also does not have wet mopping.
5.0 out of 5 stars,So close! Perfected by service.,5/22/2020 Update:
3.0 out of 5 stars,Not as effective as I hoped.,Tried it for 3 days. Does an good job with vacuuming. But has consistently missed 2 full bedrooms and one half of another bedroom. There is no way to make it go to those rooms. Disappointed.
1.0 out of 5 stars,Buyer beware - cheap IS cheap,"We have had this a couple of months and had to return it. If you have to hand vacuum all the places this thing misses, then why run it? I did one room and then ran my dyson upright to see what it missed and even though it picked up some, it still left enough for half a container on my dyson. It blows some debris out of its reach and then doesn’t go back to clean that. I had a deboot, that lasted for 3 years under heavy use, and it was great until my son broke it. This thing never mapped or went in a straight line, just went off diagonally wherever. I bit the bullet and bought a roomba for more suction power and overall better reviews, even from close friends. Just remember, you get what you pay for in this instance."
3.0 out of 5 stars,Nice device/Alexa and App seem like false advertising,"We really like our Roborock vacuum. It cleans our downstairs while we sleep today. It covers about a thousand square feet in 2 hours or so. Does a great job on carpet and hardwood, doesn’t scuff anything, and cleans up pet hair from 2 dogs and 2 cats. We only do spot cleaning nowadays and it’s nice: 1 less thing to do."
5.0 out of 5 stars,Buy a robot vacuum already!,The robot vacuum post that you didn't know you needed! TL;DR
3.0 out of 5 stars,"Noisy, useless app","This cleaner is advertised to have app supported remote control. App (on the Android) is completely useless. It wants access to location (considering this is an app from China, we will pass). What is the point of location services? Ridiculous. All the app needs to do is connect to the vacuum that is in our house, not somewhere across the world, so why location services? Not giving it full access to the phone means limited functionality? That's fine, except that it will not connect to our robot at all. So effectively, WIFI is a waste of battery, and the advertised WIFI/APP is something that the vendor should take out of the cost as it's flat out does not work."
4.0 out of 5 stars,"Loud, app is absolutely novice, but does a surprisingly good job of trouble-free cleaning",Was on the verge of returning this. First impression was the utterly novice garbage app with Chinese characters everywhere. I'm guessing roborock paid bottom dollar for software 'talent' and passed the savings on? Can't integrate with Alexa because the app is gibberish. Zero stars on that count.
2.0 out of 5 stars,Works fine but App is worthless,I waited a long time to get a new robo vacuum and thought this sounded great based on reviews. Sure enough it works great but DO NOT believe them about the app. I is a total waste of space on my phone and does not work at all. Absolutely useless. You can still get some benefit from this if you're willing to manually start it. But again DO NOT believe that you'll be able to control it with the app. It absolutely does not work.
5.0 out of 5 stars,Excellent robot vaccuum & mop at an affordable price. I'm astonished honestly.,"Best purchase possibly ever or at least since my Dyson purchase. I am astonished at how well this little guy cleans up everything. We have predominantly hardwood floors throughout our home but many area rugs a dog and two bunnies that can create quite a mess. Not to mention the 3 girls, one of which rides horses and brings home all sorts of dirt,dust and fur and a husband who loves to cook, tinker and leave messes everywhere because he's too busy creating and thinking, all of which I am ok with but I also work a lot and run my own business. So not a lot of time for cleaning honestly. We have it set on a cleaning schedule at night while were sleeping. I have it run nightly to clean up the day's messes. I've noticed it has also significantly cut down on the amount of dust our home/we produces likely improving the overall air quality in the home. The mop feature works very well and I run that every other night just to keep things tidy overall. I still do a deep clean once a month myself but have noticed a great improvement overall in our floors cleanliness. I would suggest buying more mop cloths if you end up using this feature as much as I do. With kids you will want to use it. It really does a good job mopping surprisingly. I'm honestly shocked."
4.0 out of 5 stars,"Good price and features, not so good on medium pile carpet",Overall a very good product. I bought this model because it goes in straight lines to clean and not in a random pattern. It will map your house using its optic eye which is why there is only one side brush. And I believe if it runs out of battery it will recharge and resume where it left off. My house is too small so it always finishes at around 60% battery.
5.0 out of 5 stars,Love it!,I run this robot daily and sometimes twice daily if the dogs have tracked dirt in or out. It’s unbelievable how much dirt it picks up daily-mostly dog hair and dander. It has completely changed the way I clean. I run a broom behind doors and in some corners about once a week and the robot does the rest. The mopping feature cleans the dog prints and small spots. I put hot water in the reservoir to start. I leave rugs in place even when using the mop feature. It’s such a small amount of moisture that it has not had any impact on the area rugs. I cannot speak for carpet because I have none. The app is reassuring because it shows the cleaning path after each cleaning session so I know it has not missed a room like my old Roomba used to do. I put it in gentle mode when I want the robot to be nearly silent while cleaning but otherwise I use the balanced mode for faster cleaning. The battery lasts for the entire cleaning unless I put it in turbo mode for a faster cleaning. I use the robot for the first floor which is about 1800 sf. It occasionally wedges itself under a kitchen cabinets but not every time. I have to close the front door during cleaning to keep its wheels from getting suspended. I tell everyone about this vacuum because I like it so much.
4.0 out of 5 stars,of the 5 different robot vacuums I've had these are my favorite!,"I've had 2 different roborock models, 2 different eufy models and the irobot 675. my Roomba was amazing. had it about 3 years and it still runs like new. biggest thing I didn't like about it was that it got stuck constantly and about once a week didn't return to it's base. the eufy models had this problem as well. both brands get long female hair stuck in the brush like crazy though as well! my gf has really long hair and the roborock models do a great job of not getting tons of hair stuck in the brush. I went with the roborock E40s overall because of the lack of maintenance they require. I have 3 levels, one bot on each level. I have a small dog sitting business and even when I'm fully booked with long hair dogs these can go easily 3 days without having to even think about them. you can tell when brushing out the filter that it does a great job of catching fine particles and the filter can even be rinsed well with warm water."
2.0 out of 5 stars,"Quit charging, connection problems",Bought this just a couple months ago. It never did connect to my phone or WiFi and I contacted them but did not want to deal with it so I just let that slide and would press start on the device every morning as there is not a remote. It suctions well and cleans in rows instead of bouncing around which is great but has now quit charging. I have cleaned it and tried many things to get it to charge fully. When I load it onto the dock it will say charging and even look like it’s charging but when I come back to try to use it it says error 12 not enough battery. Maybe mine is just defective I don’t know but I would have loved it if it would have ever connected to my internet and would still love it if it would just charge.
5.0 out of 5 stars,Best mid level Robot...HANDS DOWN!,"First use and I very happy with my choice. I looked for the best mid level vacuum for weeks, reading and watching reviews. I always ended up back at the E4. I had concerns over the spare parts shortage but I ordered a OEM roller brush with the vacuum. I also ordered additional parts directly from China, off “Abay”. It is replacing a old, worn out ECOVACS Deebot M81. I wanted another ecovacs because mine has been through a lot and it still works, however ecovacs doesn’t have any mid level bots to compete with the E4. I wanted something with navigation without breaking the bank. This is it!!! The application is fine, people are complaining that the application setup is hard to do, absolutely untrue. Just make sure you phone is connected to the same 2.4ghz WiFi that you choose in the app. Application has much more to offer than the ecovacs app. The bot talks to you which seems very professional. My entire floor is hardwood and watching it clean in straight lines and when is pauses to think about where to go is amazing. Just like the big money lazer bots. I do not know the durability or customer service aspects at this time but I do believe it is the right choice for the money. The roomba E5 was another option but the roborock wins in all categories. Huge battery, huge dustbin, navigation, price. For the 250-300$ range I do believe this is top dog."
1.0 out of 5 stars,This vacuum is terrible,This vacuum is terrible. Goes right over small pieces of dirt that should be easily suctioned up and leaves the dirt behind. Battery seems to last less than an hour. Doesn’t clean at all. I didn’t open it until a few months after purchasing and what a mistake that was!!
5.0 out of 5 stars,Fantastic and worth the money!,"Just to give you some background, I got this because I have a cat and dog (both shirt hair) who shed like it's their mission in life. My husband also is unfortunate enough to be allergic to pet hair and me sweeping daily wasn't enough so I decided maybe its time for some help. He had mentioned getting a Roomba in the past but he's also hella booshy and seems to think we have this kinda money. I happened to come across some money I could spent and, as if it were meant to be, this little buddy was on a flash sale! I bought it without a second thought (after doing research)."
5.0 out of 5 stars,Way better than a Roomba!,"I have both this product and a Roomba... Up against each other, the Roborock wins hands down. It doesn't get stuck as much, it doesn't get hair tangled in it as easily, the sweeper is nylon so it's fantastic for hardwood floors, it learns the layout of the house faster... The list could go on. I have two long haired, double-coated dogs and this robot vacuum keeps up in a 1500 sq ft house! I do have to run it daily and I sweep/mop at least once a week, but it cuts down on the time I spend cleaning tremendously! It does great on carpet and hardwood floors. I haven't used the mop function so I can't speak to that... It does tend to rearrange my smaller rugs, but I just have to remember to pick them up before I run the Roborock."
4.0 out of 5 stars,Does a decent job for the price,We like it because we have to vacuum every day to keep the dog hair to a minimum and this device takes the drudgery out of it. The dogs are fascinated by it and like to follow it around.
5.0 out of 5 stars,"Great product! Good suction, smart and thorough.","I love the Robo rock. I have looked at every brand and every review. The roomba doesn’t have consistent reviews for the price. This robo rock is amazing. It cleans well. It seems smart: it follows a pattern, it figures out how to get out of a pickle, can identity to stay away from stairs, etc. I downloaded the recommended app and can make it clean from my phone. The base is on my main floor, but I needed to clean upstairs. No problem. I just picked him up and pressed start. When I figured he did everything, I took him back downstairs. I’m so incredibly happy with this purchase. I bought this brand based on a friend’s recommendation (he is as picky as I am about buying these electronics). The price after the applied coupon was around $200 and that seems like a bargain based on the quality of work this robot puts in. My advice to everyone- take care of it. Maintain it like it says in the manual. It’s so easy to dispense the tray and clean out the rotating brush. Be good to it and I bet it’ll be good to you."
3.0 out of 5 stars,Read this if you're having problems connecting the E4 to your WIFI,"I have had the Roborock E4 in my possession for 6 hours, long enough to vacuum the first floor of my home and it's worked flawlessly during it's maiden voyage around the corners and crevices of my home. On first impression, it appears to be better engineered and out-performs my old $570 Neato D4 which died 4 days short of its 3rd birthday."
5.0 out of 5 stars,Can't believe I lived without this machine!,When I first opened the box & looked this robot over I was very skeptical...it looked very similar to my Roomba - it would be getting stuck every night in the exact same spots. The dust bin looked like I'll never be able to get all of the dirt out because of the lip. The mop attachment is so small I figured I would be spending my day refilling it. BUT!!! I wouldn't trade this machine for anything!
2.0 out of 5 stars,Keep looking -  wouldn't be my first choice," I had reviewed this product previously before making it my primary robot vac. Since, I've come to learn that this machine lacks in so many ways. However, I'll start with the positives, which are just a few. I like how it follows a continuous pattern rather than zigzagging through the house. It has a great battery life. And, the reason I purchased it, was the mopping option. Now calling it mopping is a far stretch of the imagination, but it does allow you to run a wet cloth across the floors while also vacuuming. This is a nice feature with all hard floors. What I don't like: It does not pick up near the amount of debris as my other robot and there have been times that I look at my floor after running it that it looks untouched. I detest the just cup. It doesn't have a full opening on any side so the dust never completely empties. It's like one of those maze games to move it in the right direction to get it all emptied. I also have a huge issue with this robot getting stuck at the threshold. My other robot powers over everything - this one barely makes it over and sometimes does not. I contacted customer service to inquire, I suspected I may have a defective machine. I was told to clean the wheels which I did and just a few cleanings afterwards the problem began again. Then I was told to use a a mat at the threshold. When I told them I did not want a mat I was simply told to reset the vac. At that point I decided it wasn't worth it to continue to interact with customer service and my best move would be to advise other buyers to beware. I definitely wouldn't purchase this vac again, not even to have the wet pad/mop feature and I strongly urge you to keep looking."
